FID,OBJECTID,DM_REF,LTBREFNO,CATEGORY,DATE_LISTED,STAT_LISTING,HSREF,SHAPE,SE_ANNO_CAD_DATA
LISTEDBUILDINGS.1234,1234,,W021,B,20/08/1984,"Duncraig incl boundary walls, 3 Glamis Rd",25419,"MULTIPOLYGON (((337123.8 730027.4, 337121.7 730027.75, 337121.05 730023.699999999, 337123.15 730023.35, 337122.8 730021.35, 337124 730021.15, 337123.85 730020.25, 337127.7 730019.65, 337127.85 730020.5, 337129 730020.300000001, 337129.1 730021.050000001, 337133.2 730020.4, 337133.15 730020.050000001, 337134.6 730019.800000001, 337135.45 730018.25, 337137.45 730017.9, 337138.7 730019.1, 337139.85 730018.9, 337140.75 730024.199999999, 337141.6 730023.25, 337143.9 730025, 337143.35 730025.699999999, 337145.2 730036.75, 337129.45 730039.4, 337123.5 730040.4, 337122.35 730033.75, 337124.8 730033.35, 337124.39 730030.890000001, 337123.8 730027.4)), ((337088.13 730046.699999999, 337089.95 730022.6, 337090.5 730016.65, 337090.65 730015.15, 337090.75 730013.699999999, 337090.8 730012.25, 337090.8 730009.6, 337090.85 730007.800000001, 337090.85 730006, 337090.89 730002.66, 337090.85 730001.4, 337090.85 730000, 337090.8 729999.25, 337091.1747 729999.205700001, 337091.1897 730008.532400001, 337091.0655 730013.5668, 337090.879 730016.861, 337089.5116 730033.6426, 337088.5171 730046.353, 337120.4643 730043.3696, 337148.8376 730040.8214, 337148.6511 730036.9056, 337151.8831 730035.600400001, 337149.2784 730017.920499999, 337149.64 730017.869999999, 337152.23 730035.76, 337149.1 730037.17, 337149.18 730041.15, 337130 730042.85, 337118 730043.949999999, 337088.13 730046.699999999)))",
LISTEDBUILDINGS.1235,1235,,W074,B,30/06/1989,"Seathwood House, lodge & gatepiers, 365 Perth Rd",25571,"MULTIPOLYGON (((337111.8 729916.85, 337113 729916.699999999, 337112.8 729915.35, 337116.8 729914.800000001, 337117.1 729916.449999999, 337123 729915.65, 337122.75 729914.050000001, 337123.95 729913.800000001, 337124.6 729912.449999999, 337127.4 729912.050000001, 337128.55 729913.199999999, 337129.65 729913, 337130.4 729918.449999999, 337133.2 729918.050000001, 337134 729923.9, 337131.2 729924.300000001, 337132.65 729935.4, 337123.55 729936.6, 337122.55 729936.800000001, 337114.6 729937.75, 337111.8 729916.85), (337121.6 729929.9, 337122.1 729933.6, 337123.05 729933.4, 337127 729932.85, 337126.55 729929.25, 337121.6 729929.9)), ((337146.6 729875, 337146.5 729874.4, 337145.15 729873.5, 337144.85 729871.65, 337145.8 729870.6, 337146.2 729870.550000001, 337145.85 729868, 337147.55 729867.800000001, 337147.25 729865.9, 337147 729863.9, 337152.5 729863.199999999, 337152.6 729864.300000001, 337155.95 729863.9, 337156.3 729866.6, 337153 729867, 337153.6 729871.75, 337155.65 729871.4, 337156.1 729874.300000001, 337153.55 729874.699999999, 337153.4 729874.050000001, 337146.6 729875)), ((337137 729863.4, 337138.2 729863.199999999, 337138.2571 729863.7772, 337137.1361 729863.945900001, 337137 729863.4)), ((337143.15 729862.550000001, 337143.8 729862.449999999, 337143.8463 729862.886399999, 337143.3703 729862.8739, 337143.15 729862.550000001)))",
LISTEDBUILDINGS.1236,1236,,W109,B,04/02/1965,"Ardvreck incl boundary walls & gatepiers, 516 Perth Rd",25642,"MULTIPOLYGON (((337097.6 729836.550000001, 337097.8 729838.699999999, 337093.85 729839, 337093.75 729836.85, 337091.85 729836.949999999, 337090.45 729837.1, 337087 729837.35, 337086.75 729834.449999999, 337079.15 729835, 337078.5 729826.050000001, 337079.95 729825.9, 337080.4 729825.1, 337082.95 729824.85, 337083.8 729825.6, 337087.35 729825.35, 337090.2 729825.1, 337090.35 729827.199999999, 337093.75 729827, 337093.6 729824.800000001, 337094 729824.800000001, 337095.55 729824.6, 337095.8 729824.15, 337096.2 729823.65, 337096.6 729823.4, 337097.2 729823.1, 337097.95 729823.1, 337098.6 729823.25, 337099.1 729823.4, 337100 729824.199999999, 337101.6 729824.050000001, 337101.8 729824.949999999, 337103.4 729824.800000001, 337108 729824.449999999, 337108.6 729832.199999999, 337108.65 729833.4, 337118 729832.699999999, 337118.4 729838.550000001, 337113.95 729838.85, 337114 729839.75, 337114 729839.800000001, 337104.15 729840.550000001, 337103.5 729840.6, 337103.2 729836.15, 337097.6 729836.550000001)), ((337056.4 729790.800000001, 337078.4 729789.6, 337124.85 729786.949999999, 337128.3 729821.1, 337129.2 729830.199999999, 337129.4 729833.35, 337129.95 729840, 337130.4 729846.050000001, 337130.8 729848.800000001, 337129.2 729849, 337128.2 729849.1, 337121.65 729850.050000001, 337105.15 729852.4, 337086.8 729855, 337068.55 729857.5, 337068.608 729856.8618, 337069.1087 729856.7925, 337130.1485 729848.3376, 337128.2767 729826.4265, 337124.423 729787.558900001, 337057.0379 729791.192399999, 337061.6624 729857.9169, 337063.7668 729857.4692, 337063.8 729858.199999999, 337061.15 729858.6, 337060.75 729852.4, 337060.45 729847.6, 337058.4 729819.800000001, 337056.4 729790.800000001)))",
LISTEDBUILDINGS.1237,1237,,W128,B,04/02/1965,"49 SEAFIELD ROAD AND 6 MAGDALEN PLACE, ELM LODGE WITH BOUNDARY WALLS",25677,"MULTIPOLYGON (((339224.4 729573.6, 339224.5 729573.35, 339224.5 729572.050000001, 339224.6 729570.449999999, 339224.75 729569.65, 339224.9 729568.699999999, 339225 729568.199999999, 339225.05 729567.65, 339225.2 729567.25, 339225.35 729566.699999999, 339225.5 729566.300000001, 339225.6 729565.800000001, 339225.75 729565.35, 339225.9 729564.85, 339226 729564.4, 339226.2 729564, 339226.35 729563.6, 339226.5 729563.25, 339227 729562.15, 339227.65 729561, 339228.35 729559.9, 339229.15 729558.85, 339230 729557.800000001, 339230.9 729556.699999999, 339232.2 729555.4, 339233.6 729554.300000001, 339235 729553.25, 339236.4 729552.4, 339238.2 729551.4, 339240 729550.699999999, 339241.4 729550.199999999, 339242.8 729549.800000001, 339244.05 729549.5, 339245.35 729549.25, 339246.9 729549, 339250.2 729549, 339251.05 729549.1, 339252 729549.25, 339252.8 729549.5, 339254.2 729550, 339254.95 729550.300000001, 339255.65 729550.550000001, 339256.5 729550.800000001, 339257.2 729551, 339257.8 729551.35, 339258.4 729551.65, 339260.15 729552.699999999, 339261.75 729553.800000001, 339262.1 729554.050000001, 339263 729554.85, 339264.15 729555.9, 339265.5 729557.25, 339266.65 729558.6, 339267.6 729560, 339268.4 729561.4, 339269 729562.550000001, 339269.4 729563.65, 339269.8 729565, 339270.2 729566.300000001, 339270.5 729567.800000001, 339270.6 729569.25, 339270.8 729570.449999999, 339270.8 729573.25, 339270.65 729574.800000001, 339270.4 729576.199999999, 339270.15 729577.65, 339269.8 729578.85, 339269.5 729580.199999999, 339268.65 729582.4, 339268.4 729583, 339268.15 729583.65, 339267.95 729584.15, 339267.65 729584.550000001, 339267.55 729584.949999999, 339267.3 729585.4, 339266.9211 729585.294199999, 339256.2 729582.300000001, 339228.7 729574.699999999, 339224.4 729573.6), (339267.057 729584.9056, 339269.1928 729580.021400001, 339270.2852 729575.719900001, 339270.5583 729572.374299999, 339270.3535 729568.4142, 339269.6707 729565.819700001, 339268.9196 729563.0886, 339266.9396 729559.6064, 339265.7789 729557.967800001, 339263.6623 729555.9877, 339259.9753 729552.7787, 339257.449 729551.4814, 339255.1959 729550.6621, 339251.4406 729549.364800001, 339247.7536 729549.296499999, 339245.2956 729549.5014, 339242.428 729550.1841, 339238.6044 729551.549699999, 339235.6685 729553.1884, 339233.074 729555.0319, 339231.367 729556.465700001, 339229.7966 729558.514, 339228.4994 729560.1527, 339227.0655 729562.542400001, 339225.9048 729565.546599999, 339225.222 729568.4142, 339224.8124 729573.398499999, 339267.057 729584.9056)), ((339241.3 729571, 339244.2 729562.15, 339248.4 729563.5, 339248.8 729562.550000001, 339252.95 729564, 339252.55 729565.1, 339256.9 729566.449999999, 339253.75 729575.25, 339252.45 729574.85, 339251.2 729574.4, 339249.8 729573.9, 339249.5 729574.85, 339245.4 729573.4, 339245.65 729572.449999999, 339241.3 729571)))",
LISTEDBUILDINGS.1238,1238,,W108,B,30/06/1989,"Nyoora incl garden walls & gatepiers, 514 Perth Rd",25640,"MULTIPOLYGON (((337124.85 729786.949999999, 337153.2 729785.5, 337158.45 729785.25, 337160.35 729806.050000001, 337162.2 729828.550000001, 337163.6 729844.199999999, 337162.2 729844.449999999, 337155.1 729845.5, 337143.4 729847, 337132 729848.550000001, 337130.8 729848.800000001, 337130.6964 729848.0877, 337130.4 729846.050000001, 337129.95 729840, 337129.4 729833.35, 337129.2 729830.550000001, 337129.2 729830.199999999, 337128.3 729821.1, 337127.4 729812.699999999, 337125.5 729793.65, 337124.85 729786.949999999), (337129.7104 729830.099099999, 337130.4479 729840.0145, 337130.7757 729845.9146, 337131.0359 729848.0331, 337131.1854 729848.225500001, 337163.0622 729843.784, 337158.1455 729785.701099999, 337125.2444 729787.422, 337129.7104 729830.099099999)), ((337136.2 729832.800000001, 337135.2 729822.949999999, 337136 729822.4, 337136.55 729822.300000001, 337137.4 729821.25, 337139.4 729821.1, 337140.2 729821.9, 337142.05 729821.65, 337142.4 729823.9, 337144.65 729823.65, 337145 729821.5, 337147.3 729821.25, 337150.35 729820.949999999, 337150.35 729819.65, 337154.75 729819.25, 337154.85 729820.6, 337155.75 729820.550000001, 337156.1 729823.9, 337158.3 729823.65, 337158.75 729827.9, 337158.3 729827.9, 337159.1 729835.800000001, 337153.6 729836.4, 337151 729836.6, 337150.5 729831.35, 337136.2 729832.800000001)))",
LISTEDBUILDINGS.1239,1239,,W105,B,30/06/1989,"West Dene incl boundary walls & gatepiers, 506 Perth Rd",25634,"MULTIPOLYGON (((337235.1 729813, 337236 729812.949999999, 337236.6 729811.65, 337239.6 729811.4, 337240.5 729812.6, 337245.2 729812.199999999, 337245.1 729810.050000001, 337251.2 729809.5, 337251.4 729812.300000001, 337256.55 729811.9, 337259.35 729811.65, 337260.4 729824.699999999, 337260.4 729825.25, 337246.8 729826.449999999, 337244.8 729824.449999999, 337244.55 729821.5, 337235.8 729822.199999999, 337235.1 729813)), ((337224.1 729782, 337259.4 729780.15, 337260.85 729799.199999999, 337262.5 729819.65, 337262.85 729824.550000001, 337264 729838.949999999, 337256.85 729839.199999999, 337249.8 729839.35, 337230.8 729839.9, 337228.35 729840, 337228.3086 729839.513599999, 337228.5629 729839.4912, 337228.6146 729839.489800001, 337228.3066 729839.4901, 337227.4 729828.85, 337227.25 729826.73, 337224.1 729782), (337228.6146 729839.489800001, 337263.3695 729838.4901, 337258.9447 729780.666999999, 337224.6531 729782.376499999, 337228.6146 729839.489800001)))",
LISTEDBUILDINGS.1240,1240,,W004,B,30/06/1989,"Dounans, 5 Arnhall Drive incl gates & boundary walls",25352,"MULTIPOLYGON (((337216.85 729905.9, 337224.4 729905.4, 337230.15 729905.1, 337241.6 729904.4, 337243.7 729921.800000001, 337240.6 729922.15, 337235.25 729922.6, 337232.65 729922.85, 337223.2 729923.800000001, 337217.6 729918.449999999, 337216.85 729905.9), (337217.8511 729918.354900001, 337223.2876 729923.5385, 337243.4321 729921.6842, 337241.4092 729904.658299999, 337230.157 729905.332599999, 337224.3412 729905.7119, 337217.1347 729906.133300001, 337217.8511 729918.354900001)), ((337232.75 729909.25, 337232.8 729911.75, 337233.4 729912.199999999, 337233.55 729916.550000001, 337230.8 729916.6, 337230.85 729918.199999999, 337228.6 729918.300000001, 337228.55 729916.85, 337225 729916.949999999, 337224.8 729909.5, 337232.75 729909.25)))",
LISTEDBUILDINGS.1241,1241,,W104,B,30/06/1989,"Cidhmore House & lodge, 488 Perth Rd",25632,"MULTIPOLYGON (((337433.2 729788.050000001, 337410.2 729789.65, 337409.75 729783.25, 337408.85 729783.25, 337408.1 729772.449999999, 337408 729770.699999999, 337407.1 729770.85, 337406.95 729768.699999999, 337406.8 729767, 337406.4 729761.75, 337404.6 729759.9, 337404.5 729758.800000001, 337405.85 729757.1, 337405.65 729754.449999999, 337407.2 729754.4, 337408.4 729753, 337410.4 729752.85, 337411.8 729754.050000001, 337413.1 729753.9, 337413.1 729754.449999999, 337421.95 729753.800000001, 337421.85 729753.199999999, 337423.2 729753.1, 337424.4 729751.9, 337426.65 729751.65, 337427.95 729752.800000001, 337429.35 729752.699999999, 337430.1 729763.25, 337433.5 729763, 337433.5 729763.6, 337433.85 729768.4, 337433.85 729768.949999999, 337432.6 729769, 337433.5 729781.5, 337432.75 729781.5, 337433.2 729788.050000001), (337417.15 729780.300000001, 337422.55 729779.800000001, 337421.95 729772.800000001, 337425 729772.550000001, 337424.8 729771, 337420.75 729771.35, 337418.4 729771.6, 337416.4 729771.75, 337417.15 729780.300000001)), ((337492.6 729822.4, 337493.4 729821.4, 337493.35 729820.699999999, 337500 729820.300000001, 337501.75 729820.15, 337501.8 729821, 337501.95 729823.75, 337502.1 729826.199999999, 337502.25 729828.6, 337502.35 729829.5, 337500 729829.65, 337498 729829.75, 337497.8 729827.25, 337496.2 729827.4, 337496.1 729825.25, 337494.25 729825.35, 337493.6 729825.4, 337493.55 729824.6, 337492.75 729824.050000001, 337492.6 729822.4)), ((337492.8 729830.199999999, 337493.2079 729830.1928, 337493.3934 729830.9968, 337493.6408 729831.5535, 337494.1665 729832.141000001, 337495.3107 729832.6976, 337496.4549 729832.914100001, 337505.7175 729832.4515, 337505.75 729832.85, 337500 729833.1, 337496.65 729833.35, 337495.55 729833.25, 337495 729833.1, 337494.5 729832.949999999, 337494 729832.6, 337493.5 729832.199999999, 337493.3 729832, 337493 729831.4, 337492.85 729830.85, 337492.8 729830.199999999)))",
LISTEDBUILDINGS.1242,1242,,W103,B,30/06/1989,"Taypark incl boundary walls, 484 Perth Rd",25630,"MULTIPOLYGON (((337533.5 729758.6, 337533 729758.6, 337533 729757.35, 337532 729756.199999999, 337531.95 729754.300000001, 337532.85 729753.25, 337532.8 729751.800000001, 337535.6 729751.75, 337535.6 729751.5, 337538.75 729751.4, 337538.75 729751.6, 337540.8 729751.5, 337540.8 729750.85, 337541.6 729750.85, 337542.65 729749.6, 337544.8 729749.5, 337545.75 729750.699999999, 337546.8 729750.6, 337546.8 729751.5, 337550.6 729751.35, 337550.75 729754.050000001, 337550.8 729756.199999999, 337551 729760.85, 337551.8 729760.85, 337551.85 729762.199999999, 337552.8 729762.949999999, 337552.8 729765.1, 337552 729766.199999999, 337552 729767.5, 337551.4 729767.5, 337551.55 729771.800000001, 337550.15 729771.9, 337547.85 729771.9, 337547.95 729774, 337548 729776.15, 337548.1 729777.4, 337541.25 729777.65, 337540 729777.65, 337532.55 729777.9, 337532.55 729777.65, 337528.45 729777.75, 337528.4 729775.800000001, 337531.8 729775.75, 337532 729775.35, 337532.2 729775.25, 337532.35 729775.1, 337532.55 729775, 337532.6 729774.85, 337532.8 729774.85, 337532.95 729774.800000001, 337534.1 729774.800000001, 337533.8 729767.25, 337533.4 729767.25, 337533.35 729766.050000001, 337532.3 729765.1, 337532.2 729763, 337533.2 729762.050000001, 337533.15 729761.199999999, 337533.6 729761.1, 337533.5 729758.6), (337539.95 729773.65, 337541.2 729773.65, 337544.6 729773.5, 337544.55 729769.800000001, 337539.8 729769.9, 337539.95 729773.65)), ((337498.05 729739.75, 337498.4391 729739.6502, 337498.4923 729740.2217, 337501.2982 729770.4122, 337506.1495 729832.441, 337554.4932 729830.4103, 337564.7599 729829.7333, 337620.7754 729827.702600001, 337620.2113 729808.0153, 337617.5036 729742.6921, 337575.5343 729743.9332, 337575.4 729743.25, 337614.55 729742.4, 337616 729742.4, 337618 729742.300000001, 337620.4 729800, 337620.6 729804.699999999, 337620.85 729811.1, 337621.5 729828.300000001, 337588.75 729829.5, 337571.9 729830.050000001, 337566.1 729830.300000001, 337565.1 729830.300000001, 337554.95 729830.949999999, 337552.75 729831, 337544.8 729831.199999999, 337530.6 729831.9, 337525.65 729832.050000001, 337505.75 729832.85, 337505.4 729828.550000001, 337504.1 729812.300000001, 337500.34 729764.84, 337500 729760.550000001, 337498.5 729745, 337498.1 729740.15, 337498.05 729739.75)))",
LISTEDBUILDINGS.1243,1243,,W071,B,30/06/1989,"Ardmere house, lodge, boundary walls & gatepiers, 327 Perth Rd",25565,"MULTIPOLYGON (((337696 729898.199999999, 337691.2 729897.65, 337690.4 729904.699999999, 337685.4 729904.15, 337687.95 729881.6, 337689 729881.75, 337690.2 729880.85, 337692.2 729881, 337693.3 729881.9, 337693.2 729882.15, 337698.8 729882.800000001, 337698.85 729882.4, 337699.3582 729882.0791, 337699.8 729881.800000001, 337702 729882.050000001, 337702.95 729882.85, 337702.85 729883.25, 337704.2 729883.4, 337703.5 729889.65, 337706.4 729890.050000001, 337705.75 729895.9, 337705.6 729897.199999999, 337701.8 729896.800000001, 337696.2 729896.15, 337696 729898.199999999)), ((337718.6 729848.85, 337718.4 729844.199999999, 337720.55 729844.15, 337720.4 729839.5, 337725 729839.4, 337725 729839.75, 337726.15 729840, 337726.1 729838.050000001, 337728.026 729838.050000001, 337728.3886 729836.222200001, 337715.6329 729836.716600001, 337714.776 729837.0462, 337714.2157 729837.4746, 337713.952 729838.1339, 337713.8861 729839.0897, 337713.6 729839.1, 337713.6 729838.4, 337713.75 729837.800000001, 337713.8 729837.5, 337714.2 729837, 337714.5 729836.85, 337715.6 729836.4, 337728.8 729835.9, 337728.4 729838.050000001, 337728.55 729838.050000001, 337726.95 729845.6, 337723.65 729861.800000001, 337722.2 729869.1, 337718.6 729887.6, 337718.1 729890.050000001, 337715.4 729903.9, 337712.5 729903.35, 337709.8 729902.800000001, 337707.05 729902.199999999, 337700.8 729900.949999999, 337700.3 729905.65, 337693.85 729905.1, 337691.4 729904.800000001, 337691.1 729906.85, 337682.2 729905.800000001, 337682.5 729903.9, 337653.75 729900.85, 337663.25 729853.25, 337663.5 729852.199999999, 337664 729849.35, 337665.4 729842.800000001, 337666.4 729837.800000001, 337701.8 729836.699999999, 337703.2 729836.699999999, 337703.65 729836.800000001, 337704.2 729836.85, 337704.6 729837, 337704.95 729837.199999999, 337705.2 729837.4, 337705.4 729837.65, 337705.6 729838, 337705.75 729838.300000001, 337705.8 729838.6, 337705.85 729839.35, 337705.5134 729839.385600001, 337705.5134 729838.9002, 337705.4406 729838.269099999, 337705.0037 729837.565300001, 337704.1785 729837.201199999, 337703.2562 729837.055600001, 337698.2438 729837.1417, 337666.7554 729838.1884, 337654.4854 729900.4252, 337683.0325 729903.4845, 337682.7652 729905.489399999, 337690.7179 729906.425000001, 337691.052 729904.4869, 337699.7398 729905.155200001, 337700.4081 729900.3435, 337715.0436 729903.4176, 337723.3127 729861.8818, 337726.6121 729845.609099999, 337725.1 729845.65, 337725.2 729848.699999999, 337718.6 729848.85)))",
LISTEDBUILDINGS.1244,1244,,W070,B,30/06/1989,"former Elmslea, house & lodge, boundary walls & gatepiers, 325 Perth Rd",25563,"MULTIPOLYGON (((337759.8 729885.65, 337759.8 729885.25, 337760.85 729884.449999999, 337762.8 729884.699999999, 337763.55 729885.6, 337763.5 729886.15, 337765.1 729886.300000001, 337764.65 729889.35, 337767.45 729889.75, 337766.5 729897.199999999, 337765.2 729897, 337764.2 729904.949999999, 337762 729904.6, 337761.95 729905.35, 337762.75 729905.5, 337762.2 729909.4, 337761.35 729909.25, 337756.6 729908.6, 337756.15 729912.300000001, 337750.35 729911.5, 337750.8 729907.9, 337748.75 729907.65, 337748.5 729909.4, 337746.65 729909.199999999, 337746.95 729907.4, 337745.3 729907.199999999, 337745.8 729903.25, 337746.1 729903.25, 337746.65 729898.949999999, 337746.4 729898.949999999, 337746.8 729895.800000001, 337747.2 729892.699999999, 337747.95 729887.25, 337748.35 729884.050000001, 337749.65 729884.199999999, 337749.75 729883.9, 337750.8 729883.1, 337752.65 729883.35, 337753.55 729884.550000001, 337753.5 729884.800000001, 337759.8 729885.65), (337759.1 729903.75, 337759.2 729902.449999999, 337759.4 729900.800000001, 337762.4 729901.199999999, 337762.5 729900.199999999, 337759.6 729899.800000001, 337757.1 729899.5, 337753.5 729899, 337753 729902.949999999, 337759.1 729903.75)), ((337710.7 729927.4, 337714.3 729909.5, 337715.4 729903.9, 337718.1 729890.050000001, 337718.6 729887.6, 337722.2 729869.1, 337723.65 729861.800000001, 337726.95 729845.6, 337728.55 729838.050000001, 337728.4 729838.050000001, 337728.8 729835.9, 337765.15 729834.699999999, 337766 729834.699999999, 337766.6 729835, 337767 729835.5, 337767.2 729835.800000001, 337767.3 729836.199999999, 337767.55 729837.35, 337767.1862 729837.3849, 337766.9293 729836.3573, 337766.7581 729835.815, 337766.3857 729835.297, 337765.7591 729835.044399999, 337764.9001 729835.1187, 337729.0976 729836.426100001, 337722.3234 729870.683499999, 337711.2112 729927.076199999, 337773.9325 729932.531199999, 337788.3426 729852.6308, 337790.0659 729843.3013, 337790.1847 729840.805600001, 337789.5311 729839.260600001, 337788.7586 729837.953199999, 337787.273 729836.467700001, 337786.3222 729835.813999999, 337785.1932 729835.3386, 337782.4003 729834.625499999, 337779.132 729834.684900001, 337777.8247 729834.8632, 337777.0522 729835.3386, 337776.5174 729836.111099999, 337776.2797 729836.943, 337775.95 729837, 337775.95 729836.550000001, 337776.15 729835.9, 337776.6 729835.25, 337777.3 729834.699999999, 337778.2 729834.4, 337779.2 729834.300000001, 337782.35 729834.300000001, 337783.35 729834.449999999, 337784.3 729834.6, 337785.5 729835, 337786.6 729835.5, 337787.6 729836.199999999, 337788.85 729837.35, 337789.4 729838, 337789.85 729838.85, 337790.3 729839.800000001, 337790.55 729840.699999999, 337790.5 729843.25, 337788.8 729852.550000001, 337786.6 729864.6, 337778.35 729910.15, 337775.85 729923.9, 337775.3 729926.949999999, 337775.4 729927.25, 337774.3 729932.949999999, 337773.43 729932.869999999, 337761.2 729931.75, 337710.7 729927.4)), ((337778.3 729840.199999999, 337781.8 729840.050000001, 337781.75 729838.300000001, 337783.2 729838.199999999, 337783.15 729837.65, 337787.4 729837.5, 337787.95 729851.6, 337783.3 729851.75, 337783.2 729851.35, 337778.65 729851.5, 337778.4 729844.300000001, 337778.3 729840.199999999)))",
LISTEDBUILDINGS.1245,1245,,W069,B,30/06/1989,"West Park original House, lodge, boundary walls & gatepiers, 319 Perth Rd",25561,"MULTIPOLYGON (((337844.6 729909.25, 337846.95 729909.4, 337846.4 729915.9, 337827.6 729914.300000001, 337827.4 729917.1, 337827.25 729918.949999999, 337827.15 729920.199999999, 337827 729922.050000001, 337819.8 729921.5, 337821 729908.199999999, 337809.17 729907.199999999, 337806.88 729907.01, 337801.4 729906.550000001, 337802.2 729897.5, 337810.95 729898.300000001, 337814.2 729898.449999999, 337821.8 729899.1, 337822 729896.6, 337819.3 729896.449999999, 337819.4 729894.699999999, 337819.6 729891.5, 337819.75 729890.949999999, 337822.6 729891.1, 337823 729886.199999999, 337824.2 729886.300000001, 337825.55 729885.25, 337826.85 729885.4, 337827.85 729886.6, 337830.35 729886.85, 337830.5 729885.1, 337835.4 729885.6, 337835.35 729887.25, 337838.1 729887.4, 337839 729886.550000001, 337840.5 729886.699999999, 337841.6 729887.75, 337842.75 729887.800000001, 337842.8 729887, 337846.4 729887.35, 337846.4 729888.15, 337854.8 729888.85, 337854.8 729888.4, 337861.6 729888.949999999, 337866.0239 729889.3147, 337863.765 729911.5415, 337852.85 729910.6, 337854.2 729895.65, 337850.85 729895.4, 337850.8 729896.050000001, 337848.85 729895.800000001, 337848.95 729895.1, 337845.8 729894.85, 337845.36 729900.109999999, 337844.6 729909.25)), ((337808.21 729964.279999999, 337808.36 729962.310000001, 337809.63 729945.26, 337809.81 729942.779999999, 337810.6879 729942.877599999, 337808.8824 729963.5448, 337870.4268 729968.698000001, 337869.9851 729974.440199999, 337905.6896 729977.5321, 337925.5664 729886.246200001, 337935.3576 729842.885399999, 337937.7881 729832.136499999, 337922.3299 729831.687899999, 337921.6773 729831.851, 337921.1063 729832.2589, 337920.3721 729833.4417, 337918.863 729833.3302, 337917.6989 729833.244200001, 337917.8 729832.699999999, 337919.95 729832.800000001, 337920.35 729832.15, 337920.55 729831.800000001, 337921.15 729831.35, 337921.8 729831.199999999, 337927.6 729831.25, 337938.6 729831.5, 337935.15 729847.199999999, 337934.31 729851.039999999, 337930.4 729868.800000001, 337929.15 729874.800000001, 337927.8 729880.800000001, 337913.26 729947.310000001, 337909.34 729965.230000001, 337908.34 729969.77, 337906.4 729978.6, 337889 729976.949999999, 337887.46 729976.83, 337869.1 729975.35, 337869.3 729971.75, 337869.4 729969.5, 337855.65 729968.4, 337848.6 729967.75, 337841 729967.1, 337811.66 729964.58, 337808.21 729964.279999999)), ((337785.35 729933.800000001, 337786.4 729927.75, 337787.4 729921.9, 337788.3 729917.4, 337788.55 729917.4, 337789.8 729910.4, 337795.6 729878.800000001, 337795.8 729877.35, 337801.2 729847.65, 337801.35 729846.800000001, 337801.65 729845.199999999, 337802 729844.300000001, 337802.2 729843.800000001, 337802.6 729843.1, 337803 729842.300000001, 337803.4 729841.6, 337803.8 729840.949999999, 337804.15 729840.300000001, 337805 729839.35, 337806 729838.6, 337807.35 729837.6, 337808.65 729836.6, 337810.1 729835.65, 337811.15 729835, 337812.6 729834.199999999, 337813.15 729833.9, 337813.65 729833.65, 337814.3 729833.4, 337815 729833.35, 337815.6 729833.25, 337816.35 729833.25, 337819.95 729833.1, 337849.75 729832.15, 337896.15 729831, 337906.35 729831, 337907.8 729831.1, 337910.2 729831.1, 337910.8 729831.25, 337911.15 729831.4, 337911.8 729832, 337912.3 729832.550000001, 337912.5 729832.85, 337911.8346 729833.1119, 337911.103 729832.233999999, 337909.786 729831.648700001, 337907.8838 729831.5024, 337882.4231 729831.7218, 337822.21 729833.477700001, 337815.6254 729833.843599999, 337814.3084 729833.9899, 337812.772 729834.7215, 337807.2116 729838.306500001, 337804.8704 729840.3551, 337803.6267 729842.330399999, 337802.2366 729845.3301, 337801.6513 729848.110300001, 337796.4567 729876.9365, 337788.9575 729917.849199999, 337788.6648 729918.141799999, 337786.1082 729932.512599999, 337785.8847 729933.769400001, 337785.35 729933.800000001)), ((337923.85 729842.800000001, 337924.6 729838.050000001, 337924.8 729836.85, 337925.5 729832.6, 337927.25 729832.85, 337934.6 729834.050000001, 337933 729844.199999999, 337924.3 729842.85, 337923.85 729842.800000001)))",
